Time,WindSpeed(m/s),WindDirection(°)
08:46:38,0.9,290.5
08:46:39,0.8,287.6
08:46:40,0.8,287.6
08:46:41,0.8,287.6
08:46:42,0.8,287.6
08:46:43,0.7,287.6
08:46:44,0.7,287.6
08:46:45,0.7,287.6
08:46:47,0.7,287.6
08:46:48,0.7,287.6
08:46:49,0.8,284.4
08:46:50,0.8,281.7
08:46:51,0.8,272.8
08:46:52,0.8,272.8
08:46:53,0.8,272.8
08:46:54,0.7,272.8
08:46:55,0.7,272.8
08:46:56,0.7,272.8
08:46:58,0.7,272.8
08:46:59,0.7,272.8
08:47:00,0.7,272.1
08:47:01,0.7,272.2
08:47:02,0.7,272.2
08:47:03,0.7,272.2
08:47:04,0.8,272.2
08:47:05,0.7,272.2
08:47:06,0.7,272.2
08:47:07,0.7,272.0
08:47:09,0.7,243.3
08:47:10,0.7,195.2
08:47:11,0.7,169.2
08:47:12,0.7,208.8
08:47:13,0.7,283.2
08:47:14,0.6,287.7
08:47:15,0.6,287.7
08:47:16,0.6,287.7
08:47:17,0.6,287.6
08:47:18,0.6,286.6
08:47:20,0.6,286.6
08:47:21,0.6,286.6
08:47:22,0.6,286.6
08:47:23,0.6,286.6
08:47:24,0.7,286.6
08:47:25,0.7,286.6
08:47:26,0.7,286.6
08:47:27,0.7,286.6
08:47:28,0.8,286.6
08:47:30,0.8,286.6
08:47:31,0.8,286.6
08:47:32,0.8,286.0
08:47:33,0.8,285.4
08:47:34,0.8,228.9
08:47:35,1.0,236.3
08:47:36,1.1,266.4
08:47:37,1.1,235.9
08:47:38,1.4,260.5
08:47:39,1.4,255.6
08:47:41,1.3,242.8
08:47:42,1.1,258.0
08:47:43,1.1,262.8
08:47:44,1.0,262.2
08:47:45,1.0,262.0
08:47:46,0.9,258.5
08:47:47,0.8,258.5
08:47:48,0.8,261.6
08:47:49,0.8,265.6
08:47:50,0.7,265.6
08:47:52,0.7,266.6
08:47:53,0.7,267.1
08:47:54,0.7,267.2
08:47:55,0.7,268.1
08:47:56,0.8,291.6
08:47:57,0.9,347.2
08:47:58,1.1,326.4
08:47:59,1.1,323.7
08:48:00,1.2,317.8
08:48:01,1.1,332.1
08:48:03,1.1,349.8
08:48:04,1.0,326.2
08:48:05,0.9,311.4
08:48:06,0.9,310.8
08:48:07,0.9,298.2
08:48:08,1.0,296.0
08:48:09,1.0,296.0
08:48:10,0.9,296.0
08:48:11,0.9,296.0
08:48:12,0.8,296.0
08:48:14,0.8,296.3
08:48:15,0.8,299.8
08:48:16,0.9,342.1
08:48:17,1.0,333.8
08:48:18,1.1,301.0
08:48:19,1.1,332.4
08:48:20,1.1,344.8
08:48:21,1.2,313.6
08:48:22,1.2,324.8
08:48:23,1.3,316.4
08:48:25,1.6,332.8
08:48:26,1.6,315.9
08:48:27,1.8,329.0
08:48:28,2.0,332.6
08:48:29,2.0,337.2
08:48:30,1.9,337.4
08:48:31,1.9,345.4
08:48:32,1.8,336.2
08:48:33,1.7,325.0
08:48:35,1.7,339.4
08:48:36,1.9,343.6
08:48:37,2.0,337.4
08:48:38,2.1,326.2
08:48:39,2.0,334.7
08:48:40,2.0,323.2
08:48:41,1.9,310.9
08:48:42,1.8,310.9
08:48:43,1.7,329.1
08:48:44,1.5,325.8
08:48:46,1.5,332.6
08:48:47,1.4,325.0
08:48:48,1.3,314.2
08:48:49,1.2,341.6
08:48:50,1.1,350.0
08:48:51,1.1,332.6
08:48:52,1.1,343.8
08:48:53,1.0,331.0
08:48:54,1.0,322.2
08:48:55,1.0,304.9
08:48:57,1.0,304.9
08:48:58,1.0,299.9
08:48:59,0.9,264.3
08:49:00,0.9,225.7
08:49:01,0.9,242.6
08:49:02,0.9,249.2
08:49:03,0.8,238.8
08:49:04,0.8,230.0
08:49:05,0.7,240.6
08:49:06,0.7,254.2
08:49:08,0.7,230.0
08:49:09,0.7,219.4
08:49:10,0.6,219.4
08:49:11,0.6,219.4
08:49:12,0.6,233.3
08:49:13,0.6,260.2
08:49:14,0.6,270.9
08:49:15,0.6,270.9
08:49:16,0.6,275.9
08:49:17,0.7,275.9
08:49:19,0.7,275.9
08:49:20,0.7,275.9
08:49:21,0.7,275.9
08:49:22,0.6,275.9
08:49:23,0.6,275.9
08:49:24,0.6,275.9
08:49:25,0.5,275.9
08:49:26,0.5,275.9
08:49:27,0.5,275.9
08:49:28,0.6,275.9
08:49:30,0.6,275.9
08:49:31,0.6,275.9
08:49:32,0.6,276.0
08:49:33,0.7,276.0
08:49:34,0.8,281.5
08:49:35,0.9,281.5
08:49:36,0.9,281.5
08:49:37,0.9,281.5
